"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"21863","SLC5A9",0.380431618,0.650839424,0.650839424,0.380431618,"SLC5A9","Not Sig"
"21864","LOC112268195",-0.537873149,0.650846725,0.650846725,-0.537873149,"LOC112268195","Not Sig"
"21865","MIR4297",0.565987831,0.650846725,0.650846725,0.565987831,"MIR4297","Not Sig"
"21866","LOC107984262",-0.333928484,0.650856449,0.650856449,-0.333928484,"LOC107984262","Not Sig"
"21867","LOC107985436",-0.803373401,0.650936903,0.650936903,-0.803373401,"LOC107985436","Not Sig"
"21868","LINC01159",-0.784604597,0.650998021,0.650998021,-0.784604597,"LINC01159","Not Sig"
"21869","PBX2_5",-0.407653242,0.65106108,0.65106108,-0.407653242,"PBX2_5","Not Sig"
"21870","C12orf43",-0.07950123,0.65106108,0.65106108,-0.07950123,"C12orf43","Not Sig"
"21871","LINC02606",0.325941261,0.65106108,0.65106108,0.325941261,"LINC02606","Not Sig"
"21872","LINC00997",-0.162215795,0.651067369,0.651067369,-0.162215795,"LINC00997","Not Sig"
"21873","LOC101929643",0.545679427,0.6513472,0.6513472,0.545679427,"LOC101929643","Not Sig"
"21874","PPP1R10",0.69791091,0.651415083,0.651415083,0.69791091,"PPP1R10","Not Sig"
"21875","INTS7",0.071044085,0.651433765,0.651433765,0.071044085,"INTS7","Not Sig"
"21876","LOC105377548",-0.743302185,0.651576232,0.651576232,-0.743302185,"LOC105377548","Not Sig"
"21877","ITPK1_1",0.740663751,0.651753455,0.651753455,0.740663751,"ITPK1_1","Not Sig"
"21878","TMEM246-AS1",-0.680322025,0.651793802,0.651793802,-0.680322025,"TMEM246-AS1","Not Sig"
"21879","CCDC15-DT",0.353717272,0.651820158,0.651820158,0.353717272,"CCDC15-DT","Not Sig"
"21880","LOC112268310",0.651902826,0.6519314,0.6519314,0.651902826,"LOC112268310","Not Sig"
"21881","LNCRI",0.80542681,0.652021548,0.652021548,0.80542681,"LNCRI","Not Sig"
"21882","UBL7-DT_1",-0.774609059,0.652543088,0.652543088,-0.774609059,"UBL7-DT_1","Not Sig"
"21883","LOC101927355",-0.803697283,0.652849153,0.652849153,-0.803697283,"LOC101927355","Not Sig"
