"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"61","LOC283731",11.07816429,6.81e-97,6.81e-97,11.07816429,"LOC283731","Up"
"62","RTN1",6.659900798,8.39e-97,8.39e-97,6.659900798,"RTN1","Up"
"63","AHNAK",-8.730086749,1.16e-96,1.16e-96,-8.730086749,"AHNAK","Down"
"64","HSPG2",-7.161255936,1.25e-96,1.25e-96,-7.161255936,"HSPG2","Down"
"65","ONECUT2",9.666584236,1.23e-95,1.23e-95,9.666584236,"ONECUT2","Up"
"66","LOXL2",-6.493279705,1.96e-95,1.96e-95,-6.493279705,"LOXL2","Down"
"67","ZFP36L1",-8.110884671,1.11e-94,1.11e-94,-8.110884671,"ZFP36L1","Down"
"68","SYN2",3.467387796,2.47e-94,2.47e-94,3.467387796,"SYN2","Up"
"69","PLCL1",8.710978963,4.73e-94,4.73e-94,8.710978963,"PLCL1","Up"
"70","BOC",-6.150434291,4.86e-94,4.86e-94,-6.150434291,"BOC","Down"
"71","MANEAL",6.820011674,7.07e-94,7.07e-94,6.820011674,"MANEAL","Up"
"72","SLC10A7",3.444125277,1.75e-93,1.75e-93,3.444125277,"SLC10A7","Up"
"73","SYP",8.279354216,2.08e-93,2.08e-93,8.279354216,"SYP","Up"
"74","RPH3A",9.479991671,1.66e-92,1.66e-92,9.479991671,"RPH3A","Up"
"75","DISP2",7.899701714,1.72e-92,1.72e-92,7.899701714,"DISP2","Up"
"76","GRM2",6.351870246,3.48e-92,3.48e-92,6.351870246,"GRM2","Up"
"77","ANXA3",-6.868306776,4.94e-92,4.94e-92,-6.868306776,"ANXA3","Down"
"78","AMER2",7.971382248,1.18e-91,1.18e-91,7.971382248,"AMER2","Up"
"79","FNDC5",5.66544271,1.77e-91,1.77e-91,5.66544271,"FNDC5","Up"
"80","CORO2A",4.044432635,2.1e-91,2.1e-91,4.044432635,"CORO2A","Up"
"81","ITPKB",-7.926382209,1.44e-90,1.44e-90,-7.926382209,"ITPKB","Down"
"82","POU4F3",10.07638007,2.53e-90,2.53e-90,10.07638007,"POU4F3","Up"
"83","NOTCH3",-6.030752264,1.09e-89,1.09e-89,-6.030752264,"NOTCH3","Down"
"84","NRN1",7.885677489,1.57e-89,1.57e-89,7.885677489,"NRN1","Up"
"85","ARHGAP22",7.489584129,2.27e-89,2.27e-89,7.489584129,"ARHGAP22","Up"
"86","NID1",-7.27807601,5.06e-89,5.06e-89,-7.27807601,"NID1","Down"
"87","RHOXF1-AS1",-8.394772591,3.53e-88,3.53e-88,-8.394772591,"RHOXF1-AS1","Down"
"88","RHBDL3",8.995828855,3.98e-88,3.98e-88,8.995828855,"RHBDL3","Up"
"89","POU4F2",14.23536388,4.76e-88,4.76e-88,14.23536388,"POU4F2","Up"
"90","SERPINI1",3.566032339,6.85e-88,6.85e-88,3.566032339,"SERPINI1","Up"
"91","LAMB2",-5.740223516,1.19e-87,1.19e-87,-5.740223516,"LAMB2","Down"
"92","DCX",9.246866068,3.23e-87,3.23e-87,9.246866068,"DCX","Up"
"93","RASSF5",6.27851557,4.4e-87,4.4e-87,6.27851557,"RASSF5","Up"
"94","SLC35F3",5.176264441,5.47e-87,5.47e-87,5.176264441,"SLC35F3","Up"
"95","GOLGA7B",7.226339709,1.12e-86,1.12e-86,7.226339709,"GOLGA7B","Up"
"96","CDH6",-6.523044212,1.43e-86,1.43e-86,-6.523044212,"CDH6","Down"
"97","RUNX1T1",7.53935351,1.57e-86,1.57e-86,7.53935351,"RUNX1T1","Up"
"98","HS3ST2",8.625679348,7.07e-86,7.07e-86,8.625679348,"HS3ST2","Up"
"99","MGAT4A",5.286133863,9.27e-86,9.27e-86,5.286133863,"MGAT4A","Up"
"100","PALLD",-4.272119179,2.63e-85,2.63e-85,-4.272119179,"PALLD","Down"
"101","CDV3",-1.895422117,3.32e-85,3.32e-85,-1.895422117,"CDV3","Down"
"102","ATOH7",7.197952952,6.33e-85,6.33e-85,7.197952952,"ATOH7","Up"
"103","SDK1",5.306507843,5.61e-84,5.61e-84,5.306507843,"SDK1","Up"
"104","S1PR2",-2.993752242,7.19e-84,7.19e-84,-2.993752242,"S1PR2","Down"
"105","PPP1R17",9.01432808,1.19e-83,1.19e-83,9.01432808,"PPP1R17","Up"
"106","PLCD1",-3.327486778,1.89e-83,1.89e-83,-3.327486778,"PLCD1","Down"
"107","COL4A6",-7.41915719,1.27e-82,1.27e-82,-7.41915719,"COL4A6","Down"
"108","ISL1-DT",10.75533446,1.55e-82,1.55e-82,10.75533446,"ISL1-DT","Up"
"109","NEK6",-5.536709907,2.93e-82,2.93e-82,-5.536709907,"NEK6","Down"
"110","AJUBA",-8.097777264,3.28e-82,3.28e-82,-8.097777264,"AJUBA","Down"
"111","GNAO1",5.373901787,3.96e-82,3.96e-82,5.373901787,"GNAO1","Up"
"112","SVOP",9.189176066,4.15e-82,4.15e-82,9.189176066,"SVOP","Up"
"113","MYOF",-10.45817766,6.2e-82,6.2e-82,-10.45817766,"MYOF","Down"
"114","NSG2",7.138963436,6.2e-82,6.2e-82,7.138963436,"NSG2","Up"
"115","ACTN1",-4.822616832,1.17e-81,1.17e-81,-4.822616832,"ACTN1","Down"
"116","OPCML",7.144009146,1.21e-81,1.21e-81,7.144009146,"OPCML","Up"
"117","LGI2",5.997409205,2.8e-81,2.8e-81,5.997409205,"LGI2","Up"
"118","SULT1C4",-5.317204986,3.34e-81,3.34e-81,-5.317204986,"SULT1C4","Down"
"119","NAAA",4.84380032,3.36e-81,3.36e-81,4.84380032,"NAAA","Up"
"120","TIMP1",-4.776910502,1.11e-80,1.11e-80,-4.776910502,"TIMP1","Down"
"121","AMER3",8.558419702,2.11e-80,2.11e-80,8.558419702,"AMER3","Up"
"122","PARM1",6.092389369,3.29e-80,3.29e-80,6.092389369,"PARM1","Up"
"123","PXYLP1",2.895729727,1.25e-79,1.25e-79,2.895729727,"PXYLP1","Up"
"124","CHST8",5.274506916,1.29e-79,1.29e-79,5.274506916,"CHST8","Up"
"125","SERPINH1",-6.143008491,1.33e-79,1.33e-79,-6.143008491,"SERPINH1","Down"
"126","TJP2",-4.681947309,1.33e-79,1.33e-79,-4.681947309,"TJP2","Down"
"127","ADAMTS9",-7.072861708,7.5e-79,7.5e-79,-7.072861708,"ADAMTS9","Down"
"128","MGST1",-6.412118453,9.96e-79,9.96e-79,-6.412118453,"MGST1","Down"
"129","VSTM2A",9.772815401,1.31e-78,1.31e-78,9.772815401,"VSTM2A","Up"
"130","GLB1L3",6.57905148,1.32e-78,1.32e-78,6.57905148,"GLB1L3","Up"
"131","ARAF",-1.937048901,1.79e-78,1.79e-78,-1.937048901,"ARAF","Down"
"132","ASIC1",3.661431663,2.04e-78,2.04e-78,3.661431663,"ASIC1","Up"
"133","SOX9",-6.402372768,3.43e-78,3.43e-78,-6.402372768,"SOX9","Down"
"134","NEFM",7.001053938,6.62e-78,6.62e-78,7.001053938,"NEFM","Up"
"135","TUBB4A",6.696199531,7.9e-78,7.9e-78,6.696199531,"TUBB4A","Up"
"136","ITGA5",-6.75164227,9.05e-78,9.05e-78,-6.75164227,"ITGA5","Down"
"137","ONECUT1",10.64032047,9.91e-78,9.91e-78,10.64032047,"ONECUT1","Up"
"138","NREP",2.919010568,1.05e-77,1.05e-77,2.919010568,"NREP","Up"
"139","RIMS3",3.686491804,2.81e-77,2.81e-77,3.686491804,"RIMS3","Up"
"140","AMOTL2",-2.896260004,2.9e-77,2.9e-77,-2.896260004,"AMOTL2","Down"
"141","DAB2",-6.024327872,5.33e-77,5.33e-77,-6.024327872,"DAB2","Down"
"142","RTN4RL2",4.817576147,7.12e-77,7.12e-77,4.817576147,"RTN4RL2","Up"
"143","COL26A1",-5.195029163,1.04e-76,1.04e-76,-5.195029163,"COL26A1","Down"
"144","PTGIS",-7.094450305,2.34e-76,2.34e-76,-7.094450305,"PTGIS","Down"
"145","ZNF385B",-9.409057303,3.48e-76,3.48e-76,-9.409057303,"ZNF385B","Down"
"146","SFRP2",-7.226382239,5.13e-76,5.13e-76,-7.226382239,"SFRP2","Down"
"147","MAPK4",3.286297949,5.13e-76,5.13e-76,3.286297949,"MAPK4","Up"
"148","CCN1",-8.435402441,5.65e-76,5.65e-76,-8.435402441,"CCN1","Down"
"149","ADARB2",3.867022035,9.01e-76,9.01e-76,3.867022035,"ADARB2","Up"
"150","CCN2",-8.995308617,1.04e-75,1.04e-75,-8.995308617,"CCN2","Down"
"151","SCN9A",9.504338456,1.97e-75,1.97e-75,9.504338456,"SCN9A","Up"
"152","SPOCK2",6.430774826,2.59e-75,2.59e-75,6.430774826,"SPOCK2","Up"
"153","ZFP36L2",-6.690793146,4.22e-75,4.22e-75,-6.690793146,"ZFP36L2","Down"
"154","MYLK",-6.66427618,1.4e-74,1.4e-74,-6.66427618,"MYLK","Down"
"155","SEMA6D",4.57057115,1.75e-74,1.75e-74,4.57057115,"SEMA6D","Up"
"156","LTBP1",-6.179319614,2.31e-74,2.31e-74,-6.179319614,"LTBP1","Down"
"157","ANKRD33B",-9.369610977,2.44e-74,2.44e-74,-9.369610977,"ANKRD33B","Down"
"158","PARD6A",3.807062323,3.11e-74,3.11e-74,3.807062323,"PARD6A","Up"
"159","AP3B2",5.191643728,3.32e-74,3.32e-74,5.191643728,"AP3B2","Up"
"160","FAM78B",8.381891409,3.79e-74,3.79e-74,8.381891409,"FAM78B","Up"
"161","NOTCH2",-8.131945164,4.59e-74,4.59e-74,-8.131945164,"NOTCH2","Down"
"162","COL1A2",-5.82980622,4.66e-74,4.66e-74,-5.82980622,"COL1A2","Down"
"163","PLAU",-9.101878198,6.32e-74,6.32e-74,-9.101878198,"PLAU","Down"
"164","SNAP91",6.372204199,6.5e-74,6.5e-74,6.372204199,"SNAP91","Up"
"165","VPS41",1.567684247,7.58e-74,7.58e-74,1.567684247,"VPS41","Up"
"166","PTPN14",-7.735493051,1.16e-73,1.16e-73,-7.735493051,"PTPN14","Down"
"167","PEX5L",7.151403349,1.18e-73,1.18e-73,7.151403349,"PEX5L","Up"
"168","SPARC",-5.758563444,1.45e-73,1.45e-73,-5.758563444,"SPARC","Down"
"169","GABBR2",8.574887421,2.38e-73,2.38e-73,8.574887421,"GABBR2","Up"
"170","REEP1",8.721581117,3e-73,3e-73,8.721581117,"REEP1","Up"
"171","RALGDS",1.893524407,3.03e-73,3.03e-73,1.893524407,"RALGDS","Up"
"172","CNRIP1",6.77958607,3.03e-73,3.03e-73,6.77958607,"CNRIP1","Up"
"173","GFRA3",8.524585912,4.09e-73,4.09e-73,8.524585912,"GFRA3","Up"
"174","RXRG",9.4539257,1.03e-72,1.03e-72,9.4539257,"RXRG","Up"
"175","MAGI2",4.19612782,1.27e-72,1.27e-72,4.19612782,"MAGI2","Up"
"176","FMN2",6.815636039,1.56e-72,1.56e-72,6.815636039,"FMN2","Up"
"177","COL1A1",-9.169108287,2.23e-72,2.23e-72,-9.169108287,"COL1A1","Down"
"178","TPM1",-4.059888878,2.69e-72,2.69e-72,-4.059888878,"TPM1","Down"
"179","GDAP1L1",5.843639137,3.09e-72,3.09e-72,5.843639137,"GDAP1L1","Up"
"180","SCAMP5",4.315097226,8.24e-72,8.24e-72,4.315097226,"SCAMP5","Up"
"181","CAMK2A",6.254094777,1.09e-71,1.09e-71,6.254094777,"CAMK2A","Up"
"182","CHAT",7.888124319,1.31e-71,1.31e-71,7.888124319,"CHAT","Up"
"183","SH3GL2",6.240075048,2.02e-71,2.02e-71,6.240075048,"SH3GL2","Up"
"184","KCNQ2",5.442179193,4.56e-71,4.56e-71,5.442179193,"KCNQ2","Up"
"185","MFSD6",5.88226991,6.91e-71,6.91e-71,5.88226991,"MFSD6","Up"
"186","PCSK5",-3.974819949,1.01e-70,1.01e-70,-3.974819949,"PCSK5","Down"
"187","CHRNA4",8.177924504,2.95e-70,2.95e-70,8.177924504,"CHRNA4","Up"
"188","CHRNB4",6.87088345,8.66e-70,8.66e-70,6.87088345,"CHRNB4","Up"
"189","MKNK1",2.876767314,9.44e-70,9.44e-70,2.876767314,"MKNK1","Up"
"190","APOLD1",-7.02226542,1.22e-69,1.22e-69,-7.02226542,"APOLD1","Down"
"191","SLC31A1",-1.395729533,2e-69,2e-69,-1.395729533,"SLC31A1","Down"
"192","SPOCK3",10.14851711,2e-69,2e-69,10.14851711,"SPOCK3","Up"
"193","KLHL4",7.085135815,3.44e-69,3.44e-69,7.085135815,"KLHL4","Up"
"194","EDIL3",5.540451711,3.7e-69,3.7e-69,5.540451711,"EDIL3","Up"
"195","ALPL",-6.023119649,4.55e-69,4.55e-69,-6.023119649,"ALPL","Down"
"196","MSRB3",-5.518810171,4.55e-69,4.55e-69,-5.518810171,"MSRB3","Down"
"197","SMCO4",-3.619503282,9.22e-69,9.22e-69,-3.619503282,"SMCO4","Down"
"198","MKI67",-7.195056071,1.54e-68,1.54e-68,-7.195056071,"MKI67","Down"
"199","SCG2",9.542103487,1.9e-68,1.9e-68,9.542103487,"SCG2","Up"
"200","HSPA2",-6.342020946,2.71e-68,2.71e-68,-6.342020946,"HSPA2","Down"
"201","EPB41L4A",4.539925022,2.81e-68,2.81e-68,4.539925022,"EPB41L4A","Up"
"202","NEDD9",-5.351527348,2.82e-68,2.82e-68,-5.351527348,"NEDD9","Down"
"203","TXNRD2",-7.726892982,3.27e-68,3.27e-68,-7.726892982,"TXNRD2","Down"
"204","KLHL1",10.1143419,3.31e-68,3.31e-68,10.1143419,"KLHL1","Up"
"205","FBN2",-8.314972335,3.63e-68,3.63e-68,-8.314972335,"FBN2","Down"
"206","EEPD1",3.943238574,4.12e-68,4.12e-68,3.943238574,"EEPD1","Up"
"207","STMN3",6.964662037,4.12e-68,4.12e-68,6.964662037,"STMN3","Up"
"208","LIX1",-8.609864004,5.69e-68,5.69e-68,-8.609864004,"LIX1","Down"
"209","ACTL6B",10.68599149,8.12e-68,8.12e-68,10.68599149,"ACTL6B","Up"
"210","FAM83D",-5.238691729,1.28e-67,1.28e-67,-5.238691729,"FAM83D","Down"
"211","EFHD1",-5.279667654,1.41e-67,1.41e-67,-5.279667654,"EFHD1","Down"
"212","SLC2A3",-5.242452189,1.61e-67,1.61e-67,-5.242452189,"SLC2A3","Down"
"213","SMPD3",7.354065454,1.61e-67,1.61e-67,7.354065454,"SMPD3","Up"
"214","GULP1",-5.654066952,1.95e-67,1.95e-67,-5.654066952,"GULP1","Down"
"215","TEK",-7.10763388,2.18e-67,2.18e-67,-7.10763388,"TEK","Down"
"216","PLEKHD1",6.176611246,2.38e-67,2.38e-67,6.176611246,"PLEKHD1","Up"
"217","PLEKHA4",-5.580638623,2.7e-67,2.7e-67,-5.580638623,"PLEKHA4","Down"
"218","FAT1",-4.191905264,3.37e-67,3.37e-67,-4.191905264,"FAT1","Down"
"219","AKAP6",6.947522631,5.19e-67,5.19e-67,6.947522631,"AKAP6","Up"
"220","CEP55",-5.80463842,5.91e-67,5.91e-67,-5.80463842,"CEP55","Down"
"221","CYB5R1",2.529971098,8.24e-67,8.24e-67,2.529971098,"CYB5R1","Up"
"222","RREB1",-4.486920647,1e-66,1e-66,-4.486920647,"RREB1","Down"
"223","CASP3",4.275574629,1.27e-66,1.27e-66,4.275574629,"CASP3","Up"
"224","SLC17A6",13.71422202,1.39e-66,1.39e-66,13.71422202,"SLC17A6","Up"
"225","TULP3",-1.668562378,1.55e-66,1.55e-66,-1.668562378,"TULP3","Down"
"226","WWC2",-4.112429768,2.58e-66,2.58e-66,-4.112429768,"WWC2","Down"
"227","SLC2A10",-6.685460246,2.79e-66,2.79e-66,-6.685460246,"SLC2A10","Down"
"228","OLFML2A",-7.005192981,3.16e-66,3.16e-66,-7.005192981,"OLFML2A","Down"
"229","PDE2A",5.198013425,4.22e-66,4.22e-66,5.198013425,"PDE2A","Up"
"230","LRP2",-7.322575334,4.3e-66,4.3e-66,-7.322575334,"LRP2","Down"
"231","ITGB5",-7.364654142,4.54e-66,4.54e-66,-7.364654142,"ITGB5","Down"
"232","NCAM1",5.459375519,4.62e-66,4.62e-66,5.459375519,"NCAM1","Up"
"233","KIRREL3",4.671489978,4.78e-66,4.78e-66,4.671489978,"KIRREL3","Up"
"234","SVIP",2.883173908,4.97e-66,4.97e-66,2.883173908,"SVIP","Up"
"235","CNN2",-4.889098613,8.24e-66,8.24e-66,-4.889098613,"CNN2","Down"
"236","ARPC1B",-3.542681613,1.16e-65,1.16e-65,-3.542681613,"ARPC1B","Down"
"237","DRG2",-1.871745474,1.49e-65,1.49e-65,-1.871745474,"DRG2","Down"
"238","CACNA2D1",5.069527769,1.88e-65,1.88e-65,5.069527769,"CACNA2D1","Up"
"239","CDC14B",-3.157932206,1.95e-65,1.95e-65,-3.157932206,"CDC14B","Down"
"240","CADPS",5.853129395,2.17e-65,2.17e-65,5.853129395,"CADPS","Up"
"241","PARVA",-3.822332633,3.02e-65,3.02e-65,-3.822332633,"PARVA","Down"
"242","GNG3",7.446614694,6.19e-65,6.19e-65,7.446614694,"GNG3","Up"
"243","SCG3",7.489623417,7.74e-65,7.74e-65,7.489623417,"SCG3","Up"
"244","DIAPH2",-3.733529663,8.25e-65,8.25e-65,-3.733529663,"DIAPH2","Down"
"245","CCDC92B",4.886573214,9.03e-65,9.03e-65,4.886573214,"CCDC92B","Up"
"246","MEST",-3.91612298,1.53e-64,1.53e-64,-3.91612298,"MEST","Down"
"247","ARHGEF10L",2.026142305,1.61e-64,1.61e-64,2.026142305,"ARHGEF10L","Up"
"248","SNAI2",-6.80042363,1.85e-64,1.85e-64,-6.80042363,"SNAI2","Down"
"249","COL2A1",-8.277140165,1.99e-64,1.99e-64,-8.277140165,"COL2A1","Down"
"250","AURKB",-6.879660652,1.99e-64,1.99e-64,-6.879660652,"AURKB","Down"
"251","YAP1",-6.726259515,2.7e-64,2.7e-64,-6.726259515,"YAP1","Down"
"252","ISCA1",2.24276273,3.75e-64,3.75e-64,2.24276273,"ISCA1","Up"
"253","SNAP25",5.840223239,3.87e-64,3.87e-64,5.840223239,"SNAP25","Up"
"254","GLRX",3.075748989,5.09e-64,5.09e-64,3.075748989,"GLRX","Up"
"255","WWTR1",-6.623665235,7.12e-64,7.12e-64,-6.623665235,"WWTR1","Down"
"256","GDNF",7.681405286,7.82e-64,7.82e-64,7.681405286,"GDNF","Up"
"257","PLIN3",-4.415899188,8.73e-64,8.73e-64,-4.415899188,"PLIN3","Down"
"258","BEND5",2.618291079,1.18e-63,1.18e-63,2.618291079,"BEND5","Up"
"259","CADM1",2.130390329,2.46e-63,2.46e-63,2.130390329,"CADM1","Up"
"260","PTPRO",7.810484431,4.17e-63,4.17e-63,7.810484431,"PTPRO","Up"
"261","PCBP4",3.37332409,4.6e-63,4.6e-63,3.37332409,"PCBP4","Up"
"262","CNTNAP3",-3.970805704,6.3e-63,6.3e-63,-3.970805704,"CNTNAP3","Down"
"263","NUSAP1",-5.578674102,7.52e-63,7.52e-63,-5.578674102,"NUSAP1","Down"
"264","TLN1",-3.371848694,9.36e-63,9.36e-63,-3.371848694,"TLN1","Down"
"265","HID1",3.988587977,9.36e-63,9.36e-63,3.988587977,"HID1","Up"
"266","LIPG",-4.46589116,1.16e-62,1.16e-62,-4.46589116,"LIPG","Down"
"267","ISLR2",11.11690933,1.46e-62,1.46e-62,11.11690933,"ISLR2","Up"
"268","ZNF185",-5.120288448,1.56e-62,1.56e-62,-5.120288448,"ZNF185","Down"
"269","CELF4",6.349200986,1.62e-62,1.62e-62,6.349200986,"CELF4","Up"
"270","MTMR6",1.878245643,2.12e-62,2.12e-62,1.878245643,"MTMR6","Up"
"271","KCNB2",6.029482891,2.35e-62,2.35e-62,6.029482891,"KCNB2","Up"
"272","NFKBIZ",-5.136563015,2.56e-62,2.56e-62,-5.136563015,"NFKBIZ","Down"
"273","REPS2",5.092252349,2.74e-62,2.74e-62,5.092252349,"REPS2","Up"
"274","GPX8",-5.494884869,2.85e-62,2.85e-62,-5.494884869,"GPX8","Down"
"275","MYC",-3.335155154,3.13e-62,3.13e-62,-3.335155154,"MYC","Down"
"276","ITGA6",-3.118893163,3.9e-62,3.9e-62,-3.118893163,"ITGA6","Down"
"277","CNGA3",8.940661974,4.01e-62,4.01e-62,8.940661974,"CNGA3","Up"
"278","SAMD4A",-6.027573348,5.64e-62,5.64e-62,-6.027573348,"SAMD4A","Down"
"279","ECEL1",5.09952656,6.89e-62,6.89e-62,5.09952656,"ECEL1","Up"
"280","EDIL3-DT",4.976232987,7.61e-62,7.61e-62,4.976232987,"EDIL3-DT","Up"
"281","XKR7",4.906230353,8.04e-62,8.04e-62,4.906230353,"XKR7","Up"
"282","PLA2G3",-6.24809468,8.48e-62,8.48e-62,-6.24809468,"PLA2G3","Down"
"283","CRB1",6.441808836,1.28e-61,1.28e-61,6.441808836,"CRB1","Up"
"284","NDRG4",4.882512981,1.4e-61,1.4e-61,4.882512981,"NDRG4","Up"
"285","CRABP1",5.663345195,2.25e-61,2.25e-61,5.663345195,"CRABP1","Up"
"286","NECAP1",2.411373277,2.33e-61,2.33e-61,2.411373277,"NECAP1","Up"
"287","CCDC80",-8.512981339,3.03e-61,3.03e-61,-8.512981339,"CCDC80","Down"
"288","KCNH3",3.938414213,3.24e-61,3.24e-61,3.938414213,"KCNH3","Up"
"289","GPC4",-7.284393586,4.22e-61,4.22e-61,-7.284393586,"GPC4","Down"
"290","PRICKLE3",-6.636409776,5.61e-61,5.61e-61,-6.636409776,"PRICKLE3","Down"
"291","SHROOM3",-3.745326987,7.04e-61,7.04e-61,-3.745326987,"SHROOM3","Down"
"292","CAVIN1",-9.690914564,9.61e-61,9.61e-61,-9.690914564,"CAVIN1","Down"
"293","CD74",-3.388604825,1.19e-60,1.19e-60,-3.388604825,"CD74","Down"
"294","CNGB1",8.975867624,1.4e-60,1.4e-60,8.975867624,"CNGB1","Up"
"295","CACNA1E",7.139610363,1.67e-60,1.67e-60,7.139610363,"CACNA1E","Up"
"296","PCSK2",5.790847416,1.69e-60,1.69e-60,5.790847416,"PCSK2","Up"
"297","UNCX",11.44843486,1.78e-60,1.78e-60,11.44843486,"UNCX","Up"
"298","COL4A1",-5.836801382,1.89e-60,1.89e-60,-5.836801382,"COL4A1","Down"
"299","HJURP",-5.368984098,2.83e-60,2.83e-60,-5.368984098,"HJURP","Down"
"300","MAPK8",2.442814449,4.38e-60,4.38e-60,2.442814449,"MAPK8","Up"
"301","EBF1",8.867987642,4.8e-60,4.8e-60,8.867987642,"EBF1","Up"
"302","GJA1",-6.938840963,5.22e-60,5.22e-60,-6.938840963,"GJA1","Down"
"303","B3GAT2",7.007753562,5.53e-60,5.53e-60,7.007753562,"B3GAT2","Up"
"304","LOC105375304",6.456235536,5.65e-60,5.65e-60,6.456235536,"LOC105375304","Up"
"305","TTC9B",7.839888228,5.77e-60,5.77e-60,7.839888228,"TTC9B","Up"
"306","C14orf132",5.44223986,5.92e-60,5.92e-60,5.44223986,"C14orf132","Up"
"307","CDK5R2",6.6975278,6.15e-60,6.15e-60,6.6975278,"CDK5R2","Up"
"308","BMP4",-9.08721112,6.28e-60,6.28e-60,-9.08721112,"BMP4","Down"
"309","PPP1R1C",7.325756735,7.91e-60,7.91e-60,7.325756735,"PPP1R1C","Up"
"310","FBXO9",2.325592661,8.35e-60,8.35e-60,2.325592661,"FBXO9","Up"
"311","CAMKV",5.489406547,1e-59,1e-59,5.489406547,"CAMKV","Up"
"312","MADD",3.036497849,1.96e-59,1.96e-59,3.036497849,"MADD","Up"
"313","ANXA1",-9.085010873,1.97e-59,1.97e-59,-9.085010873,"ANXA1","Down"
"314","MYO1C",-2.953107299,2.04e-59,2.04e-59,-2.953107299,"MYO1C","Down"
"315","MBOAT1",-7.884237778,2.33e-59,2.33e-59,-7.884237778,"MBOAT1","Down"
"316","SORBS3",-6.373724333,2.94e-59,2.94e-59,-6.373724333,"SORBS3","Down"
"317","SLC2A14",-5.221047591,4.18e-59,4.18e-59,-5.221047591,"SLC2A14","Down"
"318","NTRK2",9.057224624,4.37e-59,4.37e-59,9.057224624,"NTRK2","Up"
"319","COL4A5",-7.137300447,4.55e-59,4.55e-59,-7.137300447,"COL4A5","Down"
"320","DPF3",6.453119366,8.83e-59,8.83e-59,6.453119366,"DPF3","Up"
"321","NSG1",5.463659292,8.99e-59,8.99e-59,5.463659292,"NSG1","Up"
"322","ANO4",5.760636557,9.99e-59,9.99e-59,5.760636557,"ANO4","Up"
"323","SLC39A14",-2.100242902,1.09e-58,1.09e-58,-2.100242902,"SLC39A14","Down"
"324","SNCB",4.728138559,1.11e-58,1.11e-58,4.728138559,"SNCB","Up"
"325","REG1A",3.801214613,1.47e-58,1.47e-58,3.801214613,"REG1A","Up"
"326","DLGAP5",-6.619657094,1.69e-58,1.69e-58,-6.619657094,"DLGAP5","Down"
"327","SEC24D",-2.545097212,1.72e-58,1.72e-58,-2.545097212,"SEC24D","Down"
"328","MYL9",-7.4116842,1.89e-58,1.89e-58,-7.4116842,"MYL9","Down"
"329","COL18A1",-6.988583045,1.96e-58,1.96e-58,-6.988583045,"COL18A1","Down"
"330","TECPR1",1.975940875,1.97e-58,1.97e-58,1.975940875,"TECPR1","Up"
"331","PLK1",-5.364018984,1.98e-58,1.98e-58,-5.364018984,"PLK1","Down"
"332","CNN3",-2.483833569,2.1e-58,2.1e-58,-2.483833569,"CNN3","Down"
"333","ATRNL1",5.168675886,2.23e-58,2.23e-58,5.168675886,"ATRNL1","Up"
"334","CELF3",6.365378832,3.74e-58,3.74e-58,6.365378832,"CELF3","Up"
"335","STON2",2.469829308,4.36e-58,4.36e-58,2.469829308,"STON2","Up"
"336","HLF",5.811605111,4.38e-58,4.38e-58,5.811605111,"HLF","Up"
"337","PHACTR3",7.954171562,4.38e-58,4.38e-58,7.954171562,"PHACTR3","Up"
"338","SPON1",-4.836530726,5.69e-58,5.69e-58,-4.836530726,"SPON1","Down"
"339","PACS2",2.564305595,6.91e-58,6.91e-58,2.564305595,"PACS2","Up"
"340","SAMD14",2.836227022,7.41e-58,7.41e-58,2.836227022,"SAMD14","Up"
"341","DCTD",-0.95863333,8.28e-58,8.28e-58,-0.95863333,"DCTD","Down"
"342","LOC151760",-6.913982681,9.64e-58,9.64e-58,-6.913982681,"LOC151760","Down"
"343","GLI3",-6.067206444,1.01e-57,1.01e-57,-6.067206444,"GLI3","Down"
"344","SLC9A9",6.186624753,1.85e-57,1.85e-57,6.186624753,"SLC9A9","Up"
"345","GRIK3",6.230217387,1.97e-57,1.97e-57,6.230217387,"GRIK3","Up"
"346","DIAPH3",-5.546409481,2.13e-57,2.13e-57,-5.546409481,"DIAPH3","Down"
"347","PAWR",-4.194946206,3.51e-57,3.51e-57,-4.194946206,"PAWR","Down"
"348","CNTNAP4",9.866769878,3.84e-57,3.84e-57,9.866769878,"CNTNAP4","Up"
"349","TMEM163",6.027319722,4.3e-57,4.3e-57,6.027319722,"TMEM163","Up"
"350","SAYSD1",1.609492696,5.15e-57,5.15e-57,1.609492696,"SAYSD1","Up"
"351","FAM102B",3.336803869,5.37e-57,5.37e-57,3.336803869,"FAM102B","Up"
"352","DNAJC22",3.81546345,5.84e-57,5.84e-57,3.81546345,"DNAJC22","Up"
"353","PCDHGA10",-3.382346008,6.25e-57,6.25e-57,-3.382346008,"PCDHGA10","Down"
"354","PIK3IP1",3.936640638,6.38e-57,6.38e-57,3.936640638,"PIK3IP1","Up"
"355","LOC100129034",-4.582605201,7.87e-57,7.87e-57,-4.582605201,"LOC100129034","Down"
"356","KIF21B",4.345379561,1.02e-56,1.02e-56,4.345379561,"KIF21B","Up"
"357","GPC3",-5.454639973,1.05e-56,1.05e-56,-5.454639973,"GPC3","Down"
"358","ANKRD45",-3.959645157,1.1e-56,1.1e-56,-3.959645157,"ANKRD45","Down"
