"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"8721","U2AF1L4",0.886068385,0.000142821,0.000142821,0.886068385,"U2AF1L4","Up"
"8722","LINC02730",3.735756123,0.000143091,0.000143091,3.735756123,"LINC02730","Up"
"8723","SNORD4A",-2.08857689,0.000143296,0.000143296,-2.08857689,"SNORD4A","Down"
"8724","SLITRK2",-4.532864123,0.000143868,0.000143868,-4.532864123,"SLITRK2","Down"
"8725","GPR21",3.60773051,0.00014401,0.00014401,3.60773051,"GPR21","Up"
"8726","PIGQ",0.611366196,0.000144247,0.000144247,0.611366196,"PIGQ","Up"
"8727","SIK1B",-2.899337078,0.000144247,0.000144247,-2.899337078,"SIK1B","Down"
"8728","DYNLT3",0.780692022,0.000144636,0.000144636,0.780692022,"DYNLT3","Up"
"8729","CLSTN2",1.598566287,0.000145457,0.000145457,1.598566287,"CLSTN2","Up"
"8730","CASQ1",-1.852238048,0.000145509,0.000145509,-1.852238048,"CASQ1","Down"
"8731","TTC22",1.949202899,0.000145543,0.000145543,1.949202899,"TTC22","Up"
"8732","C1orf174",-0.591644111,0.000145936,0.000145936,-0.591644111,"C1orf174","Down"
"8733","C1orf122",0.907365167,0.000146393,0.000146393,0.907365167,"C1orf122","Up"
"8734","CNTNAP2_1",0.987139366,0.000146951,0.000146951,0.987139366,"CNTNAP2_1","Up"
"8735","GFM2",0.530961465,0.000147114,0.000147114,0.530961465,"GFM2","Not Sig"
"8736","KDSR",-0.505109641,0.000147779,0.000147779,-0.505109641,"KDSR","Not Sig"
"8737","STBD1",-1.415415297,0.000148065,0.000148065,-1.415415297,"STBD1","Down"
"8738","LOC105371490",3.269174575,0.000148834,0.000148834,3.269174575,"LOC105371490","Up"
"8739","CEP170_1",1.456703103,0.000148912,0.000148912,1.456703103,"CEP170_1","Up"
"8740","LOC101926948",-4.02062999,0.000148988,0.000148988,-4.02062999,"LOC101926948","Down"
"8741","MRPL44",0.368740473,0.000149059,0.000149059,0.368740473,"MRPL44","Not Sig"
"8742","WDR36",-0.630206579,0.000149082,0.000149082,-0.630206579,"WDR36","Down"
"8743","GIPC3",-3.952845305,0.000149711,0.000149711,-3.952845305,"GIPC3","Down"
"8744","CDX1",-3.83262055,0.000149782,0.000149782,-3.83262055,"CDX1","Down"
"8745","GTPBP10",0.504402316,0.000150091,0.000150091,0.504402316,"GTPBP10","Not Sig"
"8746","ARL4D",1.067525809,0.000150497,0.000150497,1.067525809,"ARL4D","Up"
"8747","CCDC92",1.777181857,0.000150721,0.000150721,1.777181857,"CCDC92","Up"
"8748","SC5D",-0.560248866,0.000151396,0.000151396,-0.560248866,"SC5D","Not Sig"
"8749","LOC105370462",2.682228987,0.000151396,0.000151396,2.682228987,"LOC105370462","Up"
"8750","MTIF3",0.488237675,0.000151569,0.000151569,0.488237675,"MTIF3","Not Sig"
"8751","GAREM1",0.910672207,0.000151754,0.000151754,0.910672207,"GAREM1","Up"
"8752","LOC112268142",3.30708513,0.000152119,0.000152119,3.30708513,"LOC112268142","Up"
"8753","SLIT3-AS2",4.051308905,0.000152189,0.000152189,4.051308905,"SLIT3-AS2","Up"
"8754","DIS3L",0.66740138,0.000152264,0.000152264,0.66740138,"DIS3L","Up"
"8755","TFF3",4.916551576,0.000153585,0.000153585,4.916551576,"TFF3","Up"
"8756","SIKE1",0.328967684,0.000154672,0.000154672,0.328967684,"SIKE1","Not Sig"
"8757","LINC00920",-4.192518838,0.000154876,0.000154876,-4.192518838,"LINC00920","Down"
"8758","LOC105374760",4.008422017,0.000154965,0.000154965,4.008422017,"LOC105374760","Up"
"8759","NUDT15",-0.715786801,0.000155326,0.000155326,-0.715786801,"NUDT15","Down"
"8760","GRM5",3.363188575,0.000155374,0.000155374,3.363188575,"GRM5","Up"
"8761","TATDN1",-0.764480439,0.000155524,0.000155524,-0.764480439,"TATDN1","Down"
"8762","HCRTR2",2.53582842,0.000155524,0.000155524,2.53582842,"HCRTR2","Up"
"8763","NADSYN1",-0.644804592,0.000155904,0.000155904,-0.644804592,"NADSYN1","Down"
"8764","MGAT5",0.769742197,0.000155904,0.000155904,0.769742197,"MGAT5","Up"
"8765","GK5",-0.897567384,0.000156047,0.000156047,-0.897567384,"GK5","Down"
"8766","UNG",-0.920490875,0.000156576,0.000156576,-0.920490875,"UNG","Down"
"8767","NKX2-5",-3.766777771,0.000156619,0.000156619,-3.766777771,"NKX2-5","Down"
"8768","MPI",-0.643397637,0.000156624,0.000156624,-0.643397637,"MPI","Down"
"8769","MCEE",0.805387137,0.000156864,0.000156864,0.805387137,"MCEE","Up"
"8770","LRRC7-AS1",4.422636891,0.000156867,0.000156867,4.422636891,"LRRC7-AS1","Up"
"8771","DARS1",-0.68208823,0.00015693,0.00015693,-0.68208823,"DARS1","Down"
"8772","UNC119",-0.942495566,0.000157876,0.000157876,-0.942495566,"UNC119","Down"
"8773","PPIH",-0.731084817,0.000157949,0.000157949,-0.731084817,"PPIH","Down"
"8774","LINC02589",1.460161419,0.000158243,0.000158243,1.460161419,"LINC02589","Up"
"8775","LOC105377744",4.183530135,0.000158541,0.000158541,4.183530135,"LOC105377744","Up"
"8776","SNORD100",-2.729776904,0.000158843,0.000158843,-2.729776904,"SNORD100","Down"
"8777","FBXO48",0.815411596,0.000159243,0.000159243,0.815411596,"FBXO48","Up"
"8778","PCDHA10",1.132629984,0.000159336,0.000159336,1.132629984,"PCDHA10","Up"
"8779","RPL23",-1.121377675,0.00015981,0.00015981,-1.121377675,"RPL23","Down"
"8780","MATK",-2.831342448,0.000160104,0.000160104,-2.831342448,"MATK","Down"
"8781","FAM131C",1.648624917,0.000160438,0.000160438,1.648624917,"FAM131C","Up"
"8782","FLNC-AS1",-2.392645186,0.000160626,0.000160626,-2.392645186,"FLNC-AS1","Down"
